anchor_name,module,anchor_signature,anchor_informal,variant_signature,transformation_type,change_description
AdicCompletion.induction_on,Mathlib.RingTheory.AdicCompletion.Basic," {p : AdicCompletion I M → Prop} (x : AdicCompletion I M) (h : ∀ (f : AdicCauchySequence I M), p (mk I M f)) : p x","Let $I$ be an ideal of a ring $R$ and $M$ an $R$-module. For any predicate $p$ on the $I$-adic completion $\widehat{M}_I$ and any element $x \in \widehat{M}_I$, if $p$ holds for all elements represented by $I$-adic Cauchy sequences in $M$, then $p$ holds for $x$."," {p : AdicCompletion I M → Prop} (h : ∀ (f : AdicCauchySequence I M), p (mk I M f)) : p x",generalization,Removed hypothesis (x : AdicCompletion I M)
StarAlgHom.comp_id,Mathlib.Algebra.Star.StarAlgHom, (f : A →⋆ₐ[R] B) : f.comp (StarAlgHom.id _ _) = f,"For any star algebra homomorphism $f \colon A \to B$ over a commutative semiring $R$, the composition of $f$ with the identity star algebra homomorphism on $A$ is equal to $f$, i.e., $f \circ \text{id}_A = f$.", (f : A →⋆ₐ[R] B) : f.comp (StarAlgHom.id _ _) ≠ f,negation,Changed = to ≠
StarAlgHom.comp_id,Mathlib.Algebra.Star.StarAlgHom, (f : A →⋆ₐ[R] B) : f.comp (StarAlgHom.id _ _) = f,"For any star algebra homomorphism $f \colon A \to B$ over a commutative semiring $R$, the composition of $f$ with the identity star algebra homomorphism on $A$ is equal to $f$, i.e., $f \circ \text{id}_A = f$.", (f : A →⋆ₐ B) : f.comp (StarAlgHom.id _ _) = f,generalization,Removed typeclass [R]
MeasureTheory.SimpleFunc.tendsto_approxOn_L1_enorm,Mathlib.MeasureTheory.Function.SimpleFuncDenseLp," [OpensMeasurableSpace E] {f : β → E} (hf : Measurable f) {s : Set E} {y₀ : E} (h₀ : y₀ ∈ s) [SeparableSpace s]
  {μ : Measure β} (hμ : ∀ᵐ x ∂μ, f x ∈ closure s) (hi : HasFiniteIntegral (fun x => f x - y₀) μ) :
  Tendsto (fun n => ∫⁻ x, ‖approxOn f hf s y₀ h₀ n x - f x‖ₑ ∂μ) atTop (𝓝 0)","Let $E$ be a normed space with the Borel $\sigma$-algebra, $f \colon \beta \to E$ a measurable function, $s \subseteq E$ a separable set containing a point $y_0 \in s$, and $\mu$ a measure on $\beta$. Suppose that $f(x) \in \overline{s}$ for $\mu$-almost every $x \in \beta$ and that the function $x \mapsto f(x) - y_0$ has finite integral with respect to $\mu$. Then the sequence of simple functions $\text{approxOn}_n f$ satisfies
\[ \lim_{n \to \infty} \int \|\text{approxOn}_n f(x) - f(x)\| \, d\mu = 0. \]"," [OpensMeasurableSpace E] {f : β → E} (hf : Measurable f) {s : Set E} {y₀ : E} (h₀ : y₀ ∈ s) [SeparableSpace s]
  {μ : Measure β} (hμ : ∀ᵐ x ∂μ, f x ∈ closure s) (hi : HasFiniteIntegral (fun x => f x - y₀) μ) : ¬(Tendsto (fun n => ∫⁻ x, ‖approxOn f hf s y₀ h₀ n x - f x‖ₑ ∂μ) atTop (𝓝 0))",negation,Negated conclusion with ¬
MeasureTheory.SimpleFunc.tendsto_approxOn_L1_enorm,Mathlib.MeasureTheory.Function.SimpleFuncDenseLp," [OpensMeasurableSpace E] {f : β → E} (hf : Measurable f) {s : Set E} {y₀ : E} (h₀ : y₀ ∈ s) [SeparableSpace s]
  {μ : Measure β} (hμ : ∀ᵐ x ∂μ, f x ∈ closure s) (hi : HasFiniteIntegral (fun x => f x - y₀) μ) :
  Tendsto (fun n => ∫⁻ x, ‖approxOn f hf s y₀ h₀ n x - f x‖ₑ ∂μ) atTop (𝓝 0)","Let $E$ be a normed space with the Borel $\sigma$-algebra, $f \colon \beta \to E$ a measurable function, $s \subseteq E$ a separable set containing a point $y_0 \in s$, and $\mu$ a measure on $\beta$. Suppose that $f(x) \in \overline{s}$ for $\mu$-almost every $x \in \beta$ and that the function $x \mapsto f(x) - y_0$ has finite integral with respect to $\mu$. Then the sequence of simple functions $\text{approxOn}_n f$ satisfies
\[ \lim_{n \to \infty} \int \|\text{approxOn}_n f(x) - f(x)\| \, d\mu = 0. \]"," {f : β → E} (hf : Measurable f) {s : Set E} {y₀ : E} (h₀ : y₀ ∈ s) [SeparableSpace s]
  {μ : Measure β} (hμ : ∀ᵐ x ∂μ, f x ∈ closure s) (hi : HasFiniteIntegral (fun x => f x - y₀) μ) :
  Tendsto (fun n => ∫⁻ x, ‖approxOn f hf s y₀ h₀ n x - f x‖ₑ ∂μ) atTop (𝓝 0)",generalization,Removed typeclass [OpensMeasurableSpace E]
MeasureTheory.SimpleFunc.tendsto_approxOn_L1_enorm,Mathlib.MeasureTheory.Function.SimpleFuncDenseLp," [OpensMeasurableSpace E] {f : β → E} (hf : Measurable f) {s : Set E} {y₀ : E} (h₀ : y₀ ∈ s) [SeparableSpace s]
  {μ : Measure β} (hμ : ∀ᵐ x ∂μ, f x ∈ closure s) (hi : HasFiniteIntegral (fun x => f x - y₀) μ) :
  Tendsto (fun n => ∫⁻ x, ‖approxOn f hf s y₀ h₀ n x - f x‖ₑ ∂μ) atTop (𝓝 0)","Let $E$ be a normed space with the Borel $\sigma$-algebra, $f \colon \beta \to E$ a measurable function, $s \subseteq E$ a separable set containing a point $y_0 \in s$, and $\mu$ a measure on $\beta$. Suppose that $f(x) \in \overline{s}$ for $\mu$-almost every $x \in \beta$ and that the function $x \mapsto f(x) - y_0$ has finite integral with respect to $\mu$. Then the sequence of simple functions $\text{approxOn}_n f$ satisfies
\[ \lim_{n \to \infty} \int \|\text{approxOn}_n f(x) - f(x)\| \, d\mu = 0. \]"," [OpensMeasurableSpace E] {f : β → E} (hf : Continuous f) {s : Set E} {y₀ : E} (h₀ : y₀ ∈ s) [SeparableSpace s]
  {μ : Measure β} (hμ : ∀ᵐ x ∂μ, f x ∈ closure s) (hi : HasFiniteIntegral (fun x => f x - y₀) μ) :
  Tendsto (fun n => ∫⁻ x, ‖approxOn f hf s y₀ h₀ n x - f x‖ₑ ∂μ) atTop (𝓝 0)",specialization,Specialized: Measurable → Continuous
MeasureTheory.Lp.pow_mul_meas_ge_le_enorm,Mathlib.MeasureTheory.Function.LpSpace.Basic," (f : Lp E p μ) (hp_ne_zero : p ≠ 0) (hp_ne_top : p ≠ ∞) (ε : ℝ≥0∞) :
  (ε * μ {x | ε ≤ ‖f x‖ₑ ^ p.toReal}) ^ (1 / p.toReal) ≤ ENNReal.ofReal ‖f‖","For any function $f$ in the $L^p$ space $L^p(E, \mu)$ with $0 < p < \infty$, and for any $\varepsilon \in \mathbb{R}_{\geq 0} \cup \{\infty\}$, the following inequality holds:
\[
\left( \varepsilon \cdot \mu \left\{ x \mid \varepsilon \leq \|f(x)\|_E^{p} \right\} \right)^{1/p} \leq \|f\|_{L^p(\mu)},
\]
where $\|f(x)\|_E$ denotes the norm of $f(x)$ in the space $E$ and $\|f\|_{L^p(\mu)}$ is the $L^p$ norm of $f$ with respect to the measure $\mu$.", (f : Lp E p μ) (hp_ne_zero : p ≠ 0) (hp_ne_top : p ≠ ∞) (ε : ℝ≥0∞) : ¬((ε * μ {x | ε ≤ ‖f x‖ₑ ^ p.toReal}) ^ (1 / p.toReal) ≤ ENNReal.ofReal ‖f‖),negation,Negated conclusion with ¬
MeasureTheory.Lp.pow_mul_meas_ge_le_enorm,Mathlib.MeasureTheory.Function.LpSpace.Basic," (f : Lp E p μ) (hp_ne_zero : p ≠ 0) (hp_ne_top : p ≠ ∞) (ε : ℝ≥0∞) :
  (ε * μ {x | ε ≤ ‖f x‖ₑ ^ p.toReal}) ^ (1 / p.toReal) ≤ ENNReal.ofReal ‖f‖","For any function $f$ in the $L^p$ space $L^p(E, \mu)$ with $0 < p < \infty$, and for any $\varepsilon \in \mathbb{R}_{\geq 0} \cup \{\infty\}$, the following inequality holds:
\[
\left( \varepsilon \cdot \mu \left\{ x \mid \varepsilon \leq \|f(x)\|_E^{p} \right\} \right)^{1/p} \leq \|f\|_{L^p(\mu)},
\]
where $\|f(x)\|_E$ denotes the norm of $f(x)$ in the space $E$ and $\|f\|_{L^p(\mu)}$ is the $L^p$ norm of $f$ with respect to the measure $\mu$."," (hp_ne_zero : p ≠ 0) (hp_ne_top : p ≠ ∞) (ε : ℝ≥0∞) :
  (ε * μ {x | ε ≤ ‖f x‖ₑ ^ p.toReal}) ^ (1 / p.toReal) ≤ ENNReal.ofReal ‖f‖",generalization,Removed hypothesis (f : Lp E p μ)
MeasureTheory.Lp.pow_mul_meas_ge_le_enorm,Mathlib.MeasureTheory.Function.LpSpace.Basic," (f : Lp E p μ) (hp_ne_zero : p ≠ 0) (hp_ne_top : p ≠ ∞) (ε : ℝ≥0∞) :
  (ε * μ {x | ε ≤ ‖f x‖ₑ ^ p.toReal}) ^ (1 / p.toReal) ≤ ENNReal.ofReal ‖f‖","For any function $f$ in the $L^p$ space $L^p(E, \mu)$ with $0 < p < \infty$, and for any $\varepsilon \in \mathbb{R}_{\geq 0} \cup \{\infty\}$, the following inequality holds:
\[
\left( \varepsilon \cdot \mu \left\{ x \mid \varepsilon \leq \|f(x)\|_E^{p} \right\} \right)^{1/p} \leq \|f\|_{L^p(\mu)},
\]
where $\|f(x)\|_E$ denotes the norm of $f(x)$ in the space $E$ and $\|f\|_{L^p(\mu)}$ is the $L^p$ norm of $f$ with respect to the measure $\mu$."," (f : Lp E p μ) (hp_ne_zero : p ≠ 0) (hp_ne_top : p ≠ ∞) (ε : ℝ≥1∞) :
  (ε * μ {x | ε ≤ ‖f x‖ₑ ^ p.toReal}) ^ (1 / p.toReal) ≤ ENNReal.ofReal ‖f‖",bound_perturbation,Bound perturbation: ≥ n → ≥ n+1
Lean.Order.monotone_id,Init.Internal.Order.Basic, : monotone (fun (x : α) => x),"The identity function $\mathrm{id} : \alpha \to \alpha$ on a partially ordered set $\alpha$ is monotone. That is, for all $x, y \in \alpha$, if $x \sqsubseteq y$, then $\mathrm{id}(x) \sqsubseteq \mathrm{id}(y)$ (or equivalently, $x \sqsubseteq y$ implies $x \sqsubseteq y$).", : ¬(monotone (fun (x : α) => x)),negation,Negated conclusion with ¬
Lean.Order.monotone_id,Init.Internal.Order.Basic, : monotone (fun (x : α) => x),"The identity function $\mathrm{id} : \alpha \to \alpha$ on a partially ordered set $\alpha$ is monotone. That is, for all $x, y \in \alpha$, if $x \sqsubseteq y$, then $\mathrm{id}(x) \sqsubseteq \mathrm{id}(y)$ (or equivalently, $x \sqsubseteq y$ implies $x \sqsubseteq y$).", : monotone (fun => x),generalization,Removed hypothesis (x : α)
MemHolder.comp,Mathlib.Topology.MetricSpace.HolderNorm," {r s : ℝ≥0} {Z : Type*} [MetricSpace Z] {f : Z → X} {g : X → Y} (hf : MemHolder r f) (hg : MemHolder s g) :
  MemHolder (s * r) (g ∘ f)","Let $X$, $Y$, and $Z$ be metric spaces, and let $f : Z \to X$ and $g : X \to Y$ be functions. If $f$ is $r$-Hölder continuous and $g$ is $s$-Hölder continuous, then their composition $g \circ f : Z \to Y$ is $(s \cdot r)$-Hölder continuous.", {r s : ℝ≥0} {Z : Type*} [MetricSpace Z] {f : Z → X} {g : X → Y} (hf : MemHolder r f) (hg : MemHolder s g) : ¬(MemHolder (s * r) (g ∘ f)),negation,Negated conclusion with ¬
MemHolder.comp,Mathlib.Topology.MetricSpace.HolderNorm," {r s : ℝ≥0} {Z : Type*} [MetricSpace Z] {f : Z → X} {g : X → Y} (hf : MemHolder r f) (hg : MemHolder s g) :
  MemHolder (s * r) (g ∘ f)","Let $X$, $Y$, and $Z$ be metric spaces, and let $f : Z \to X$ and $g : X \to Y$ be functions. If $f$ is $r$-Hölder continuous and $g$ is $s$-Hölder continuous, then their composition $g \circ f : Z \to Y$ is $(s \cdot r)$-Hölder continuous."," {r s : ℝ≥0} {Z : Type*} {f : Z → X} {g : X → Y} (hf : MemHolder r f) (hg : MemHolder s g) :
  MemHolder (s * r) (g ∘ f)",generalization,Removed typeclass [MetricSpace Z]
MemHolder.comp,Mathlib.Topology.MetricSpace.HolderNorm," {r s : ℝ≥0} {Z : Type*} [MetricSpace Z] {f : Z → X} {g : X → Y} (hf : MemHolder r f) (hg : MemHolder s g) :
  MemHolder (s * r) (g ∘ f)","Let $X$, $Y$, and $Z$ be metric spaces, and let $f : Z \to X$ and $g : X \to Y$ be functions. If $f$ is $r$-Hölder continuous and $g$ is $s$-Hölder continuous, then their composition $g \circ f : Z \to Y$ is $(s \cdot r)$-Hölder continuous."," {r s : ℝ≥1} {Z : Type*} [MetricSpace Z] {f : Z → X} {g : X → Y} (hf : MemHolder r f) (hg : MemHolder s g) :
  MemHolder (s * r) (g ∘ f)",bound_perturbation,Bound perturbation: ≥ n → ≥ n+1
LinearIndependent.map_of_injective_injective,Mathlib.LinearAlgebra.LinearIndependent.Basic," {R' M' : Type*} [Ring R'] [AddCommGroup M'] [Module R' M'] (hv : LinearIndependent R v) (i : R' → R) (j : M →+ M')
  (hi : ∀ r, i r = 0 → r = 0) (hj : ∀ m, j m = 0 → m = 0) (hc : ∀ (r : R') (m : M), j (i r • m) = r • j m) :
  LinearIndependent R' (j ∘ v)","Let $R$ and $R'$ be rings, and let $M$ be an $R$-module and $M'$ an $R'$-module. Given a linearly independent family of vectors $v : \iota \to M$ over $R$, a ring homomorphism $i : R' \to R$ that sends non-zero elements to non-zero elements, and an additive monoid homomorphism $j : M \to M'$ that sends non-zero elements to non-zero elements, if $j$ satisfies the compatibility condition $j(i(r) \cdot m) = r \cdot j(m)$ for all $r \in R'$ and $m \in M$, then the composed family $j \circ v : \iota \to M'$ is linearly independent over $R'$."," {R' M' : Type*} [Ring R'] [AddCommGroup M'] [Module R' M'] (hv : LinearIndependent R v) (i : R' → R) (j : M →+ M')
  (hi : ∀ r, i r = 0 → r = 0) (hj : ∀ m, j m = 0 → m = 0) (hc : ∀ (r : R') (m : M), j (i r • m) = r • j m) : ¬(LinearIndependent R' (j ∘ v))",negation,Negated conclusion with ¬
LinearIndependent.map_of_injective_injective,Mathlib.LinearAlgebra.LinearIndependent.Basic," {R' M' : Type*} [Ring R'] [AddCommGroup M'] [Module R' M'] (hv : LinearIndependent R v) (i : R' → R) (j : M →+ M')
  (hi : ∀ r, i r = 0 → r = 0) (hj : ∀ m, j m = 0 → m = 0) (hc : ∀ (r : R') (m : M), j (i r • m) = r • j m) :
  LinearIndependent R' (j ∘ v)","Let $R$ and $R'$ be rings, and let $M$ be an $R$-module and $M'$ an $R'$-module. Given a linearly independent family of vectors $v : \iota \to M$ over $R$, a ring homomorphism $i : R' \to R$ that sends non-zero elements to non-zero elements, and an additive monoid homomorphism $j : M \to M'$ that sends non-zero elements to non-zero elements, if $j$ satisfies the compatibility condition $j(i(r) \cdot m) = r \cdot j(m)$ for all $r \in R'$ and $m \in M$, then the composed family $j \circ v : \iota \to M'$ is linearly independent over $R'$."," {R' M' : Type*} [AddCommGroup M'] [Module R' M'] (hv : LinearIndependent R v) (i : R' → R) (j : M →+ M')
  (hi : ∀ r, i r = 0 → r = 0) (hj : ∀ m, j m = 0 → m = 0) (hc : ∀ (r : R') (m : M), j (i r • m) = r • j m) :
  LinearIndependent R' (j ∘ v)",generalization,Removed typeclass [Ring R']
LinearIndependent.map_of_injective_injective,Mathlib.LinearAlgebra.LinearIndependent.Basic," {R' M' : Type*} [Ring R'] [AddCommGroup M'] [Module R' M'] (hv : LinearIndependent R v) (i : R' → R) (j : M →+ M')
  (hi : ∀ r, i r = 0 → r = 0) (hj : ∀ m, j m = 0 → m = 0) (hc : ∀ (r : R') (m : M), j (i r • m) = r • j m) :
  LinearIndependent R' (j ∘ v)","Let $R$ and $R'$ be rings, and let $M$ be an $R$-module and $M'$ an $R'$-module. Given a linearly independent family of vectors $v : \iota \to M$ over $R$, a ring homomorphism $i : R' \to R$ that sends non-zero elements to non-zero elements, and an additive monoid homomorphism $j : M \to M'$ that sends non-zero elements to non-zero elements, if $j$ satisfies the compatibility condition $j(i(r) \cdot m) = r \cdot j(m)$ for all $r \in R'$ and $m \in M$, then the composed family $j \circ v : \iota \to M'$ is linearly independent over $R'$."," {R' M' : Type*} [Field R'] [AddCommGroup M'] [Module R' M'] (hv : LinearIndependent R v) (i : R' → R) (j : M →+ M')
  (hi : ∀ r, i r = 0 → r = 0) (hj : ∀ m, j m = 0 → m = 0) (hc : ∀ (r : R') (m : M), j (i r • m) = r • j m) :
  LinearIndependent R' (j ∘ v)",specialization,Specialized: Ring → Field
Nat.dvd_factorial,Mathlib.Data.Nat.Factorial.Basic," : ∀ {m n}, 0 < m → m ≤ n → m ∣ n !","For any natural numbers $m$ and $n$ such that $0 < m$ and $m \leq n$, $m$ divides the factorial of $n$, i.e., $m \mid n!$."," : ¬(∀ {m n}, 0 < m → m ≤ n → m ∣ n !)",negation,Negated conclusion with ¬
Nat.dvd_factorial,Mathlib.Data.Nat.Factorial.Basic," : ∀ {m n}, 0 < m → m ≤ n → m ∣ n !","For any natural numbers $m$ and $n$ such that $0 < m$ and $m \leq n$, $m$ divides the factorial of $n$, i.e., $m \mid n!$."," : ¬(m ≤ n → m ∣ n !) → ¬(∀ {m n}, 0 < m)",contrapositive,Contrapositive: ¬Q → ¬P
Order.coheight_eq_coe_iff,Mathlib.Order.KrullDimension," {x : α} {n : ℕ} : coheight x = n ↔ coheight x < ⊤ ∧ (n = 0 ∨ ∃ y > x, coheight y = n - 1) ∧ (∀ y > x, coheight y < n)","For any element $x$ in a preordered set $\alpha$ and any natural number $n$, the coheight of $x$ equals $n$ if and only if:
1. The coheight of $x$ is finite (i.e., $\text{coheight}(x) < \infty$),
2. Either $n = 0$ or there exists an element $y > x$ with $\text{coheight}(y) = n - 1$, and
3. For all elements $y > x$, $\text{coheight}(y) < n$.

In other words:
\[ \text{coheight}(x) = n \Leftrightarrow \text{coheight}(x) < \infty \land (n = 0 \lor \exists y > x, \text{coheight}(y) = n - 1) \land (\forall y > x, \text{coheight}(y) < n) \]"," {x : α} {n : ℕ} : coheight x ≠ n ↔ coheight x < ⊤ ∧ (n = 0 ∨ ∃ y > x, coheight y = n - 1) ∧ (∀ y > x, coheight y < n)",negation,Changed = to ≠
UInt8.toNat_lt_usizeSize,Init.Data.UInt.Lemmas, (n : UInt8) : n.toNat < USize.size,"For any unsigned 8-bit integer $n$, the natural number obtained by casting $n$ to $\mathbb{N}$ is strictly less than the size of the unsigned word-size integer type `USize`.", (n : UInt8) : ¬(n.toNat < USize.size),negation,Negated conclusion with ¬
UInt8.toNat_lt_usizeSize,Init.Data.UInt.Lemmas, (n : UInt8) : n.toNat < USize.size,"For any unsigned 8-bit integer $n$, the natural number obtained by casting $n$ to $\mathbb{N}$ is strictly less than the size of the unsigned word-size integer type `USize`.", : n.toNat < USize.size,generalization,Removed hypothesis (n : UInt8)
ENNReal.mul_lt_mul_right,Mathlib.Data.ENNReal.Operations, : c ≠ 0 → c ≠ ∞ → (a * c < b * c ↔ a < b),"For any extended non-negative real numbers $a, b, c \in \mathbb{R}_{\geq 0} \cup \{\infty\}$ with $c \neq 0$ and $c \neq \infty$, the inequality $a \cdot c < b \cdot c$ holds if and only if $a < b$.", : c = 0 → c ≠ ∞ → (a * c < b * c ↔ a < b),negation,Changed ≠ to =
ENNReal.mul_lt_mul_right,Mathlib.Data.ENNReal.Operations, : c ≠ 0 → c ≠ ∞ → (a * c < b * c ↔ a < b),"For any extended non-negative real numbers $a, b, c \in \mathbb{R}_{\geq 0} \cup \{\infty\}$ with $c \neq 0$ and $c \neq \infty$, the inequality $a \cdot c < b \cdot c$ holds if and only if $a < b$.", : ¬(c ≠ ∞ → (a * c < b * c ↔ a < b)) → ¬(c ≠ 0),contrapositive,Contrapositive: ¬Q → ¬P
SlashInvariantForm.wt_eq_zero_of_eq_const,Mathlib.NumberTheory.ModularForms.LevelOne, {f : F} {c : ℂ} (hf : ⇑f = Function.const _ c) : k = 0 ∨ c = 0,"Let $f$ be a modular form of weight $k$ for $\mathrm{SL}(2, \mathbb{Z})$. If $f$ is a constant function equal to $c \in \mathbb{C}$, then either $k = 0$ or $c = 0$.", {f : F} {c : ℂ} (hf : ⇑f = Function.const _ c) : k ≠ 0 ∨ c = 0,negation,Changed = to ≠
SlashInvariantForm.wt_eq_zero_of_eq_const,Mathlib.NumberTheory.ModularForms.LevelOne, {f : F} {c : ℂ} (hf : ⇑f = Function.const _ c) : k = 0 ∨ c = 0,"Let $f$ be a modular form of weight $k$ for $\mathrm{SL}(2, \mathbb{Z})$. If $f$ is a constant function equal to $c \in \mathbb{C}$, then either $k = 0$ or $c = 0$.", {f : F} {c : ℂ} : k = 0 ∨ c = 0,generalization,Removed hypothesis (hf : ⇑f = Function.const _ c)
Function.locallyFinsuppWithin.coe_add,Mathlib.Data.LocallyFinsupp, [AddCommGroup Y] (D₁ D₂ : locallyFinsuppWithin U Y) : (↑(D₁ + D₂) : X → Y) = D₁ + D₂,"For any additive commutative group $Y$ and functions $D₁, D₂$ with locally finite support within a subset $U$ of a topological space $X$, the coercion of their sum $(D₁ + D₂)$ to a function $X \to Y$ equals the pointwise sum of the coerced functions, i.e., $(D₁ + D₂)(x) = D₁(x) + D₂(x)$ for all $x \in X$.", [AddCommGroup Y] (D₁ D₂ : locallyFinsuppWithin U Y) : ¬((↑(D₁ + D₂) : X → Y) = D₁ + D₂),negation,Negated conclusion with ¬
Function.locallyFinsuppWithin.coe_add,Mathlib.Data.LocallyFinsupp, [AddCommGroup Y] (D₁ D₂ : locallyFinsuppWithin U Y) : (↑(D₁ + D₂) : X → Y) = D₁ + D₂,"For any additive commutative group $Y$ and functions $D₁, D₂$ with locally finite support within a subset $U$ of a topological space $X$, the coercion of their sum $(D₁ + D₂)$ to a function $X \to Y$ equals the pointwise sum of the coerced functions, i.e., $(D₁ + D₂)(x) = D₁(x) + D₂(x)$ for all $x \in X$.", (D₁ D₂ : locallyFinsuppWithin U Y) : (↑(D₁ + D₂) : X → Y) = D₁ + D₂,generalization,Removed typeclass [AddCommGroup Y]
Set.add_mem_Icc_iff_left,Mathlib.Algebra.Order.Interval.Set.Group, : a + b ∈ Set.Icc c d ↔ a ∈ Set.Icc (c - b) (d - b),"For elements $a, b, c, d$ in an ordered additive monoid $\alpha$, the sum $a + b$ lies in the closed interval $[c, d]$ if and only if $a$ lies in the closed interval $[c - b, d - b]$.", : ¬(a + b ∈ Set.Icc c d ↔ a ∈ Set.Icc (c - b) (d - b)),negation,Negated conclusion with ¬
CategoryTheory.Bicategory.triangle_assoc_comp_right,Mathlib.CategoryTheory.Bicategory.Basic, (f : a ⟶ b) (g : b ⟶ c) : (α_ f (𝟙 b) g).inv ≫ (ρ_ f).hom ▷ g = f ◁ (λ_ g).hom,"For any 1-morphisms $f \colon a \to b$ and $g \colon b \to c$ in a bicategory, the following equation holds between 2-morphisms:
\[
\alpha_{f, \mathrm{id}_b, g}^{-1} \circ (\rho_f \triangleright g) = f \triangleleft \lambda_g
\]
where:
- $\alpha_{f, \mathrm{id}_b, g}$ is the associator isomorphism for the composition $f \circ \mathrm{id}_b \circ g$,
- $\rho_f$ is the right unitor isomorphism for $f$,
- $\lambda_g$ is the left unitor isomorphism for $g$,
- $\circ$ denotes vertical composition of 2-morphisms, and
- $\triangleright$ and $\triangleleft$ denote right and left whiskering respectively.", (f : a ⟶ b) (g : b ⟶ c) : (α_ f (𝟙 b) g).inv ≫ (ρ_ f).hom ▷ g ≠ f ◁ (λ_ g).hom,negation,Changed = to ≠
CategoryTheory.Bicategory.triangle_assoc_comp_right,Mathlib.CategoryTheory.Bicategory.Basic, (f : a ⟶ b) (g : b ⟶ c) : (α_ f (𝟙 b) g).inv ≫ (ρ_ f).hom ▷ g = f ◁ (λ_ g).hom,"For any 1-morphisms $f \colon a \to b$ and $g \colon b \to c$ in a bicategory, the following equation holds between 2-morphisms:
\[
\alpha_{f, \mathrm{id}_b, g}^{-1} \circ (\rho_f \triangleright g) = f \triangleleft \lambda_g
\]
where:
- $\alpha_{f, \mathrm{id}_b, g}$ is the associator isomorphism for the composition $f \circ \mathrm{id}_b \circ g$,
- $\rho_f$ is the right unitor isomorphism for $f$,
- $\lambda_g$ is the left unitor isomorphism for $g$,
- $\circ$ denotes vertical composition of 2-morphisms, and
- $\triangleright$ and $\triangleleft$ denote right and left whiskering respectively.", (g : b ⟶ c) : (α_ f (𝟙 b) g).inv ≫ (ρ_ f).hom ▷ g = f ◁ (λ_ g).hom,generalization,Removed hypothesis (f : a ⟶ b)
Matrix.ite_apply,Mathlib.Data.Matrix.Defs," (P : Prop) [Decidable P] (A : Matrix m n α) (B : Matrix m n α) (i : m) (j : n) :
  (if P then A else B) i j = if P then A i j else B i j","For any proposition $P$ with a decidability instance, any two matrices $A, B \in \text{Matrix}\,m\,n\,\alpha$, and any indices $i \in m$ and $j \in n$, the $(i,j)$-th entry of the matrix $\text{if } P \text{ then } A \text{ else } B$ is equal to $\text{if } P \text{ then } A_{i,j} \text{ else } B_{i,j}$.", (P : Prop) [Decidable P] (A : Matrix m n α) (B : Matrix m n α) (i : m) (j : n) : (if P then A else B) i j ≠ if P then A i j else B i j,negation,Changed = to ≠
Matrix.ite_apply,Mathlib.Data.Matrix.Defs," (P : Prop) [Decidable P] (A : Matrix m n α) (B : Matrix m n α) (i : m) (j : n) :
  (if P then A else B) i j = if P then A i j else B i j","For any proposition $P$ with a decidability instance, any two matrices $A, B \in \text{Matrix}\,m\,n\,\alpha$, and any indices $i \in m$ and $j \in n$, the $(i,j)$-th entry of the matrix $\text{if } P \text{ then } A \text{ else } B$ is equal to $\text{if } P \text{ then } A_{i,j} \text{ else } B_{i,j}$."," (P : Prop) (A : Matrix m n α) (B : Matrix m n α) (i : m) (j : n) :
  (if P then A else B) i j = if P then A i j else B i j",generalization,Removed typeclass [Decidable P]
Nat.nth_le_nth',Mathlib.Data.Nat.Nth," {m n : ℕ} (hle : m ≤ n) (h : ∀ hf : (setOf p).Finite, n < #hf.toFinset) : nth p m ≤ nth p n","For any natural numbers $m$ and $n$ and predicate $p : \mathbb{N} \to \text{Prop}$, if $m \leq n$ and for every finite subset $S = \{k \in \mathbb{N} \mid p(k)\}$ the index $n$ is less than the cardinality of $S$ (i.e., $n < |S|$), then the $m$-th smallest natural number satisfying $p$ is less than or equal to the $n$-th smallest natural number satisfying $p$, i.e., $\text{nth}_p(m) \leq \text{nth}_p(n)$."," {m n : ℕ} (hle : m ≤ n) (h : ∀ hf : (setOf p).Finite, n < #hf.toFinset) : ¬(nth p m ≤ nth p n)",negation,Negated conclusion with ¬
Nat.nth_le_nth',Mathlib.Data.Nat.Nth," {m n : ℕ} (hle : m ≤ n) (h : ∀ hf : (setOf p).Finite, n < #hf.toFinset) : nth p m ≤ nth p n","For any natural numbers $m$ and $n$ and predicate $p : \mathbb{N} \to \text{Prop}$, if $m \leq n$ and for every finite subset $S = \{k \in \mathbb{N} \mid p(k)\}$ the index $n$ is less than the cardinality of $S$ (i.e., $n < |S|$), then the $m$-th smallest natural number satisfying $p$ is less than or equal to the $n$-th smallest natural number satisfying $p$, i.e., $\text{nth}_p(m) \leq \text{nth}_p(n)$."," {m n : ℕ} (hle : m ≤ n) (h : ∀ hf : (setOf p).Countable, n < #hf.toFinset) : nth p m ≤ nth p n",generalization,Generalized: Finite → Countable
